section,name,size,price_lei,description,allergens,nutrition
"Gustari","Platou bruschete","200 g","25","Baghetă, roșii, usturoi, busuioc, oregano, ulei, sare, piper.","Gluten","1945 kJ / 465 kcal | G 25 | AGS 6 | C 34 | Z 5 | P 22 | S 2,2"
"Gustari","Platou mix aperitiv","550 g","72","Salată de vinete, icre, zacuscă, pâine prăjită, ceapă.","Gluten, pește, țelină","2429 kJ / 580 kcal | G 26 | AGS 6 | C 36 | Z 5 | P 19 | S 2,2"
"Gustari","Mix gustare bere","150 g","15","Cârnăciori de bere, stick mozzarella, măsline pane, inele de ceapă, jalapeños.","Gluten, lapte, ouă, muștar","1381 kJ / 330 kcal | G 22 | AGS 8 | C 15 | Z 3 | P 18 | S 2,1"
"Gustari","Meniu cârnațori bere","350 g","32","Cârnăciori de bere, cartofi prăjiți, sos muștar.","Muștar","1254 kJ / 300 kcal | G 16 | AGS 5 | C 24 | Z 2 | P 15 | S 2,0"
"Gustari","Barabule","350 g","36","Cartofi prăjiți, bacon, ou, telemea, ceapă verde.","Lapte, ouă","2595 kJ / 620 kcal | G 42 | AGS 15 | C 34 | Z 2 | P 24 | S 2,8"
"Gustari","Bread garlic gratinat","200 g","18","Baghetă, unt cu usturoi, mozzarella, cheddar.","Gluten, lapte","2011 kJ / 480 kcal | G 28 | AGS 16 | C 40 | Z 3 | P 18 | S 2,1"
"Gustari","Salată de vinete","200 g","25","Vinete, ceapă, ulei, sare, piper, pâine prăjită.","Gluten","753 kJ / 180 kcal | G 13 | AGS 2 | C 13 | Z 4 | P 3 | S 1,5"
"Gustari","Salată de icre","200 g","29","Icre, ceapă, ulei, sare, lămâie, pâine prăjită.","Pește, gluten","1005 kJ / 240 kcal | G 20 | AGS 3 | C 10 | Z 2 | P 8 | S 1,8"
"Gustari","Salată zacuscă","200 g","25","Zacuscă (vinete, ardei capia, ceapă, ulei, sare, piper), pâine prăjită.","Gluten","941 kJ / 225 kcal | G 15 | AGS 2 | C 18 | Z 6 | P 2 | S 1,6"
"Gustari","MBS (mămăligă, brânză, smântână, ou)","350 g","29","Mămăligă, brânză telemea, smântână, ou, unt, sare.","Lapte, ouă","1366 kJ / 326 kcal | G 24 | AGS 11 | C 6 | Z 3 | P 18 | S 2,2"
"Ciorbe & Salate","Ciorbă de burtă","300 ml + 80 g carne","24","Burtă de vită, ou, usturoi, țelină, morcov, smântână, oțet, ceapă, gogoșari, ulei.","Ouă, lapte, țelină","495 kcal | G 35 | AGS 16 | C 15 | Z 7 | P 27 | S 3,8"
"Ciorbe & Salate","Ciorbă de coadă de vită","300 ml + 100 g carne","24","Vită, morcov, ceapă, ardei capia, țelină, păstârnac, cartof, pulpă de roșii, borș, sare, ulei.","Țelină","420 kcal | G 18 | AGS 6 | C 20 | Z 8 | P 31 | S 3,2"
"Ciorbe & Salate","Supă de găină cu tăiței de casă","300 ml + 80 g carne","22","Carne de pui, țelină, morcov, ceapă, ardei, pătrunjel, ou, făină, păstârnac.","Ouă, țelină, gluten","335 kcal | G 14 | AGS 4 | C 22 | Z 7 | P 24 | S 2,6"
"Ciorbe & Salate","Salată Caesar","300 g","39","Salată iceberg, piept de pui crocant, sos Caesar, crutoane, parmezan.","Gluten, ouă, lapte, muștar, pește","720 kcal | G 45 | AGS 12 | C 31 | Z 11 | P 44 | S 3,2"
"Ciorbe & Salate","Salată grecească","300 g","37","Roșii, castraveți, ceapă roșie, ardei capia, măsline, brânză feta, oregano, ulei de măsline.","Lapte","690 kcal | G 45 | AGS 14 | C 16 | Z 10 | P 19 | S 2,8"
"Ciorbe & Salate","Salată Coco Jar","300 g","45","Salată iceberg, salată mix, creveți, castraveți, roșii cherry, ananas, ceapă roșie, sos Calypso, fusilli tricolore.","Crustacee, gluten, lapte, ouă, muștar","560 kcal | G 26 | AGS 8 | C 46 | Z 11 | P 34 | S 2,4"
"Ciorbe & Salate","Salată verde cu lămâie","120 g","18","Salată verde, lămâie.","Nu conține alergeni din cele 14 categorii UE","35 kcal | G 0,3 | AGS 0,1 | C 7 | Z 1 | P 2 | S 0,1"
"Paste","Spaghete carbonara","350 g","41","Spaghete, bacon, ou, smântână lichidă, parmezan, sare, piper.","Gluten, ouă, lapte","351 kcal | G 12,7 | AGS 4,7 | C 23,7 | Z 1,1 | P - | S 0,92"
"Paste","Spaghete bolognese","350 g","39","Spaghete, ragu de vită, sos de roșii, parmezan, sare, piper.","Gluten, lapte, țelină","243 kcal | G 8,3 | AGS 3,2 | C 18,6 | Z 2,1 | P 10,1 | S 0,78"
"Paste","Spaghete AOP","350 g","32","Spaghete, roșii cherry, usturoi, ardei iute, pătrunjel, ulei de măsline, sare, piper.","Gluten","408 kcal | G 15 | AGS 2,2 | C 55 | Z 6 | P - | S 1,3"
"Paste","Spaghete AOP cu creveți","350 g","47","Spaghete, creveți, roșii cherry, usturoi, ardei iute, pătrunjel, sare, piper.","Gluten, crustacee","445 kcal | G 16 | AGS 2,5 | C 51 | Z 5 | P 24 | S 1,5"
"Paste","Tagliatelle cu creveți","350 g","53","Tagliatelle, creveți, zucchini, roșii cherry, vin, usturoi, sare, piper, pătrunjel.","Gluten, crustacee, lapte","560 kcal | G 21 | AGS 8 | C 51 | Z 29 | P - | S 1,7"
"Paste","Penne siciliene al forno","350 g","48","Penne, piept de pui, ciuperci, sos de roșii, smântână lichidă, mozzarella, parmezan, sare, piper.","Gluten, lapte","590 kcal | G 27 | AGS 12 | C 58 | Z 8 | P 28 | S 2,3"
"Paste","Penne quattro formaggi","350 g","42","Penne, smântână lichidă, gorgonzola, mozzarella, parmezan, cheddar, sare, piper.","Gluten, lapte","650 kcal | G 38 | AGS 21 | C 53 | Z 5 | P 30 | S 2,8"
"Burgeri & Quesadilla","Burger Coco Jar","350 g","49","Chiflă, carne de vită, bacon, ou, salată, roșii, castraveți murați, inele de ceapă, cartofi prăjiți, sos Coco Jar, cheddar, salată coleslaw.","Gluten, ouă, lapte, muștar","1180 kcal | G 68 | AGS 21 | C 76 | Z 8 | P 58 | S 4,8"
